"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"https://bishops.co/locations/westminster/","Westminster","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","303-353-4645","<MISSING>","39.95919","-104.99359","bishops.co","MON – FRI / 9-7PM, SAT / 9-6PM, SUN / 10-5PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/university-place/","University Place","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","253-302-4610","<MISSING>","47.2251782","-122.5359443","bishops.co","MON / 10-7PM, TUES – THURS / 10-6PM, FRI – SUN / 10-7PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/charlotte-south-end/","CHARLOTTE SOUTH END","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","980-498-2056","<MISSING>","<MISSING>","<MISSING>","bishops.co","MON – WED / 10-8PM, THURS / 10-6PM, FRI / 9-7PM, SAT / 9-6PM, SUN / 11-6PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/south-lamar/","South Lamar","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","512-401-3344","<MISSING>","30.2430439","-97.7853624","bishops.co","MON – FRI / 9-8PM, SAT / 10-7PM, SUN / 11-7PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/red-mill/","Red Mill","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","757-301-4800","<MISSING>","36.7638299","-76.0164985","bishops.co","MON – FRI / 10-8PM, SAT / 9-7PM, SUN / 10-6PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/santa-clara-square/","SANTA CLARA SQUARE","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","(408) 882-3827","<MISSING>","37.3807906","-121.9744242","bishops.co","WED – SAT / 10-7PM, SUN / 10-5PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/on-broad/","On Broad","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","804-912-2552","<MISSING>","37.5503772","-77.4513842","bishops.co","MON – FRI / 10-8PM, SAT & SUN / 10-6PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/minneapolis-north-east/","MINNEAPOLIS NORTH EAST","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","612-545-5379","<MISSING>","<MISSING>","<MISSING>","bishops.co","MON – FRI / 10-8PM, SAT / 9-6PM, SUN / 10-6PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/lake-forest/","Lake Forest","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","(949) 446-4994","<MISSING>","33.647099","-117.6886414","bishops.co","MON – SAT / 9-7PM, SUN / 9-5PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/navy-yard/","Navy Yard","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","202-507-8226","<MISSING>","38.8771777","-77.0025114","bishops.co","MON / 9-7PM, TUES / 9-8PM, WED – FRI / 9-9PM, SAT / 9-7PM, SUN / 9-5PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/st-petersburg/","St. Petersburg","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","727-289-2289","<MISSING>","27.7714647","-82.6435122","bishops.co","TUES – SAT / 9AM-7PM, SUN / 11AM-7PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/whiteaker/","Whiteaker","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","541-636-3858","<MISSING>","44.0538848","-123.1080973","bishops.co","MON / 11-6PM, TUES – SUN / 10-6PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/east-irvine/","IRVINE GREAT PARK","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","949-333-1448","<MISSING>","33.8286494","-117.8074577","bishops.co","MON – SAT / 9-7PM, SUN / 9-5PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/newcastle/","NEWCASTLE","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","425-264-3149","<MISSING>","47.5433314","-122.1639311","bishops.co","MON – FRI / 10-8PM, SAT & SUN / 9-8PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/charlotte-midtown/","CHARLOTTE MIDTOWN","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","704-332-5220","<MISSING>","35.2142934","-80.8354263","bishops.co","MON – THURS / 10-8PM, FRI / 9-7PM, SAT / 9-6PM, SUN / 11-6PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/austin-buro/","Austin Buro","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","(512)551-9560","<MISSING>","<MISSING>","<MISSING>","bishops.co","MON – FRI/ 9AM-8PM, SAT & SUN / 10-7PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/pasadena/","PASADENA","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","626-808-4350","<MISSING>","34.1463211","-118.1171769","bishops.co","TUES – SUN / 11-7PM","<MISSING>","page_url:location_name:latitude:longitude"
"https://bishops.co/locations/lowry/","LOWRY","<LATER>","<LATER>","<LATER>","<LATER>","US","<MISSING>","303-557-0232","<MISSING>","39.7201151","-104.9030642","bishops.co","MON – SAT / 9-8PM, SUN / 9-7PM","<MISSING>","page_url:location_name:latitude:longitude"
